Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2021,Will Fries,Penn State,OT,78.38,309,10.25,32.875,,5.38,24,31,115,4.51,7.75,
2021,Jake Funk,Maryland,RB,70.25,204,9,30.25,,4.49,22,38,122,4.12,6.71,
2021,Kenneth Gainwell,Memphis,RB,68.38,201,9.875,30.625,,4.47,21,35,121,4.46,7.26,
2021,Bailey Gaither,San Jose State,WR,72,188,9.25,31,,4.48,9,31,121,4.39,7.07,
2021,Blake Gallagher,Northwestern,OLB,71.75,228,9.125,31,,4.83,27,31.5,107,4.4,7.23,
2021,Chris Garrett,,OLB,75.5,241,9.625,33.125,,4.88,11,30,108,4.31,7.15,
2021,Mark Gilbert,Duke,CB,72.13,186,8.75,31.25,,4.48,13,36,130,4.38,7.1,
2021,Tyree Gillespie,Missouri,SS,71.75,207,9.625,31.25,,4.43,15,35.5,108,4.39,7.06,
2021,Chauncey Golston,Iowa,DE,76.75,269,10.875,34.75,,4.83,22,36,119,4.59,7.47,
2021,OBryan Goodson,Memphis,DT,70.25,276,9.125,31,,,26,,120,,,
2021,Tay Gowan,Central Florida,CB,72.88,186,8.5,31.125,,4.49,13,35.5,118,4.27,6.86,
2021,TaQuon Graham,Texas,DT,75.13,292,10.625,35,,4.89,32,32.5,113,4.68,7.31,
2021,Thomas Graham,Oregon,CB,70.38,192,8.875,31,,4.49,13,34.5,121,4.19,7.08,
2021,Kylen Granson,Southern Methodist (TX),FB,73.5,241,9.375,32.625,,4.64,16,36.5,120,4.4,6.93,
2021,Richie Grant,Central Florida,FS,71.63,197,9.375,32.625,,4.57,12,34.5,129,4.27,6.78,
2021,Noah Gray,Duke,TE,75,240,9.375,31.625,,4.62,15,35,115,4.45,6.9,
2021,Carson Green,Texas A&M,OT,78.13,320,10.375,34.5,,5.33,23,29.5,108,4.75,7.08,
2021,Trevon Grimes,Florida,WR,76,220,9.625,31.375,,4.5,15,35,118,4.26,7,
2021,Robert Hainsey,Notre Dame,OG,76.5,306,9.75,32.125,,5.24,32,27.5,104,4.64,7.53,
2021,Devery Hamilton,Duke,OT,78.63,311,10.125,33,,5.27,21,33.5,112,4.89,7.81,
